target_variable,question_details
q2a,I look forward to going to work.
q2b,I am enthusiastic about my job.
q2c,Time passes quickly when I am working.
q3a,I always know what my work responsibilities are.
q3b,I am trusted to do my job.
q3c,There are frequent opportunities for me to show initiative in my role.
q3d,I am able to make suggestions to improve the work of my team / department.
q3e,I am involved in deciding on changes introduced that affect my work area / team / department.
q3f,I am able to make improvements happen in my area of work.
q3g,I am able to meet all the conflicting demands on my time at work.
q3h,"I have adequate materials, supplies and equipment to do my work."
q3i,There are enough staff at this organisation for me to do my job properly.
q4a,How satisfied are you with each of the following aspects of your job? The recognition I get for good work.
q4b,How satisfied are you with each of the following aspects of your job? The extent to which my organisation values my work.
q4c,How satisfied are you with each of the following aspects of your job? My level of pay.
q4d,How satisfied are you with each of the following aspects of your job? The opportunities for flexible working patterns.
q5a,I have unrealistic time pressures.
q5b,I have a choice in deciding how to do my work.
q5c,Relationships at work are strained.
q6a,I feel that my role makes a difference to patients / service users.
q6b,My organisation is committed to helping me balance my work and home life.
q6c,I achieve a good balance between my work life and my home life.
q6d,I can approach my immediate manager to talk openly about flexible working.
q7a,The team I work in has a set of shared objectives.
q7b,The team I work in often meets to discuss the team’s effectiveness.
q7c,I receive the respect I deserve form my colleagues at work.
q7c,I receive the respect I deserve from my colleagues at work.
q7d,Team members understand each other’s roles.
q7e,I enjoy working with the colleagues in my team.
q7f,My team has enough freedom in how to do its work.
q7g,In my team disagreements are dealt with constructively.
q7h,I feel valued by my team.
q7i,I feel a strong personal attachment to my team.
q8a,Teams within this organisation work well together to achieve their objectives.
q8b,The people I work with are understanding and kind to one another.
q8c,The people I work with are polite and treat each other with respect.
q8d,The people I work with show appreciation to one another.
q9a,My immediate manager encourages me at work.
q9b,My immediate manager gives me clear feedback on my work.
q9c,My immediate manager asks for my opinion before making decisions that affect my work.
q9d,My immediate manager takes a positive interest in my health and well-being.
q9e,My immediate manager values my work.
q9f,My immediate manager works together with me to come to an understanding of problems.
q9g,My immediate manager is interested in listening to me when I describe challenges I face.
q9h,My immediate manager cares about my concerns.
q9i,My immediate manager takes effective action to help me with any problems I face.
q10b,"On average, how many additional PAID hours do you work per week for this organisation, over and above your contracted hours?"
q10c,"On average, how many additional UNPAID hours do you work per week for this organisation, over and above your contracted hours?"
q11a,My organisation takes positive action on health and well-being.
q11b,In the last 12 months have you experienced musculoskeletal problems (MSK) as a result of
q11c,During the last 12 months have you felt unwell as a result of work related stress?
q11d,In the last three months have you ever come to work despite not feeling well enough to
q11e,Have you felt pressure from your manager to come to work?
q12a,"How often, if at all, do you find your work emotionally exhausting?"
q12b,"How often, if at all, do you feel burnt out because of your work?"
q12c,"How often, if at all, does your work frustrate you?"
q12d,"How often, if at all, are you exhausted at the thought of another day/shift at work?"
q12e,"How often, if at all, do you feel worn out at the end of your working day/shift?"
q12f,"How often, if at all, do you feel that every working hour is tiring for you?"
q12g,"How often, if at all, do you not have enough energy for family and friends during leisure time?"
q13a,In the last 12 months how many times have you personally experienced physical violence at
q13b,In the last 12 months how many times have you personally experienced physical violence at
q13c,In the last 12 months how many times have you personally experienced physical violence at
